全国 现有感染4459人 新增感染1784人 累计感染4613人 现有疑似483人 新增疑似202人 累计治愈61人 新增治愈10人 累计死亡106人 新增死亡24人
安徽 现有感染106人 新增感染36人 累计感染105人 现有疑似118人 新增疑似38人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染86人 新增感染11人 累计感染91人 现有疑似0人 新增疑似0人 累计治愈4人 新增治愈2人 累计死亡2人 新增死亡0人
重庆 现有感染132人 新增感染22人 累计感染132人 现有疑似13人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染82人 新增感染23人 累计感染82人 现有疑似155人 新增疑似82人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染24人 新增感染5人 累计感染24人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染216人 新增感染53人 累计感染221人 现有疑似4人 新增疑似0人 累计治愈5人 新增治愈1人 累计死亡0人 新增死亡0人
广西 现有感染58人 新增感染7人 累计感染60人 现有疑似1人 新增疑似0人 累计治愈2人 新增治愈2人 累计死亡0人 新增死亡0人
贵州 现有感染8人 新增感染0人 累计感染7人 现有疑似4人 新增疑似3人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
海南 现有感染42人 新增感染5人 累计感染43人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河北 现有感染47人 新增感染15人 累计感染48人 现有疑似99人 新增疑似45人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染167人 新增感染40人 累计感染168人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
黑龙江 现有感染29人 新增感染9人 累计感染29人 现有疑似83人 新增疑似33人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
湖北 现有感染2570人 新增感染1291人 累计感染2714人 现有疑似0人 新增疑似0人 累计治愈44人 新增治愈0人 累计死亡200人 新增死亡0人
湖南 现有感染143人 新增感染43人 累计感染143人 现有疑似3人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
吉林 现有感染8人 新增感染2人 累计感染7人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染70人 新增感染23人 累计感染70人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江西 现有感染70人 新增感染24人 累计感染72人 现有疑似0人 新增疑似0人 累计治愈2人 新增治愈2人 累计死亡0人 新增死亡0人
辽宁 现有感染27人 新增感染5人 累计感染27人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染13人 新增感染2人 累计感染7人 现有疑似2人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染11人 新增感染4人 累计感染10人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染6人 新增感染2人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染87人 新增感染24人 累计感染87人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染20人 新增感染7人 累计感染20人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染35人 新增感染13人 累计感染35人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染62人 新增感染13人 累计感染66人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈2人 累计死亡2人 新增死亡0人
四川 现有感染90人 新增感染21人 累计感染90人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
天津 现有感染23人 新增感染9人 累计感染23人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染10人 新增感染5人 累计感染10人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染44人 新增感染25人 累计感染44人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染173人 新增感染45人 累计感染173人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
