全国 现有感染11443人 新增感染2044人 累计感染11900人 现有疑似1447人 新增疑似273人 累计治愈215人 新增治愈79人 累计死亡259人 新增死亡46人
安徽 现有感染294人 新增感染60人 累计感染296人 现有疑似352人 新增疑似77人 累计治愈3人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染173人 新增感染27人 累计感染183人 现有疑似0人 新增疑似0人 累计治愈9人 新增治愈4人 累计死亡2人 新增死亡0人
重庆 现有感染236人 新增感染32人 累计感染238人 现有疑似13人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡2人 新增死亡0人
福建 现有感染159人 新增感染15人 累计感染159人 现有疑似355人 新增疑似39人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染41人 新增感染5人 累计感染41人 现有疑似11人 新增疑似10人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染572人 新增感染84人 累计感染584人 现有疑似4人 新增疑似0人 累计治愈12人 新增治愈2人 累计死亡0人 新增死亡0人
广西 现有感染111人 新增感染11人 累计感染113人 现有疑似1人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染36人 新增感染9人 累计感染33人 现有疑似66人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染60人 新增感染5人 累计感染62人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡2人 新增死亡0人
河北 现有感染100人 新增感染8人 累计感染104人 现有疑似295人 新增疑似60人 累计治愈3人 新增治愈3人 累计死亡2人 新增死亡0人
河南 现有感染417人 新增感染70人 累计感染422人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈0人 累计死亡4人 新增死亡0人
黑龙江 现有感染78人 新增感染21人 累计感染79人 现有疑似326人 新增疑似76人 累计治愈0人 新增治愈0人 累计死亡4人 新增死亡0人
湖北 现有感染6774人 新增感染1347人 累计感染7153人 现有疑似0人 新增疑似0人 累计治愈130人 新增治愈50人 累计死亡498人 新增死亡0人
湖南 现有感染386人 新增感染57人 累计感染389人 现有疑似3人 新增疑似0人 累计治愈3人 新增治愈1人 累计死亡0人 新增死亡0人
吉林 现有感染16人 新增感染3人 累计感染16人 现有疑似10人 新增疑似6人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染197人 新增感染34人 累计感染202人 现有疑似0人 新增疑似0人 累计治愈5人 新增治愈3人 累计死亡0人 新增死亡0人
江西 现有感染278人 新增感染47人 累计感染287人 现有疑似0人 新增疑似0人 累计治愈9人 新增治愈2人 累计死亡0人 新增死亡0人
辽宁 现有感染59人 新增感染15人 累计感染60人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染22人 新增感染3人 累计感染17人 现有疑似9人 新增疑似5人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
宁夏 现有感染26人 新增感染5人 累计感染24人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染9人 新增感染1人 累计感染8人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染202人 新增感染24人 累计感染202人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染46人 新增感染8人 累计感染47人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染87人 新增感染24人 累计感染87人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染133人 新增感染25人 累计感染143人 现有疑似0人 新增疑似0人 累计治愈9人 新增治愈4人 累计死亡2人 新增死亡0人
四川 现有感染204人 新增感染30人 累计感染208人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈2人 累计死亡2人 新增死亡0人
天津 现有感染32人 新增感染1人 累计感染32人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
西藏 现有感染1人 新增感染0人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染18人 新增感染1人 累计感染18人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染91人 新增感染10人 累计感染93人 现有疑似0人 新增疑似0人 累计治愈2人 新增治愈1人 累计死亡0人 新增死亡0人
浙江 现有感染585人 新增感染62人 累计感染599人 现有疑似0人 新增疑似0人 累计治愈14人 新增治愈6人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
