全国 现有感染13904人 新增感染2579人 累计感染14479人 现有疑似1724人 新增疑似284人 累计治愈295人 新增治愈80人 累计死亡304人 新增死亡45人
安徽 现有感染335人 新增感染43人 累计感染339人 现有疑似434人 新增疑似82人 累计治愈5人 新增治愈2人 累计死亡0人 新增死亡0人
北京 现有感染181人 新增感染8人 累计感染191人 现有疑似0人 新增疑似0人 累计治愈9人 新增治愈0人 累计死亡2人 新增死亡0人
重庆 现有感染258人 新增感染24人 累计感染262人 现有疑似13人 新增疑似0人 累计治愈3人 新增治愈2人 累计死亡2人 新增死亡0人
福建 现有感染179人 新增感染20人 累计感染179人 现有疑似402人 新增疑似47人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染49人 新增感染11人 累计感染52人 现有疑似14人 新增疑似3人 累计治愈3人 新增治愈3人 累计死亡0人 新增死亡0人
广东 现有感染649人 新增感染79人 累计感染663人 现有疑似4人 新增疑似0人 累计治愈14人 新增治愈2人 累计死亡0人 新增死亡0人
广西 现有感染127人 新增感染16人 累计感染129人 现有疑似1人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染44人 新增感染8人 累计感染41人 现有疑似66人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染64人 新增感染7人 累计感染69人 现有疑似0人 新增疑似0人 累计治愈4人 新增治愈3人 累计死亡2人 新增死亡0人
河北 现有感染109人 新增感染9人 累计感染113人 现有疑似345人 新增疑似50人 累计治愈3人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染488人 新增感染71人 累计感染493人 现有疑似1人 新增疑似1人 累计治愈3人 新增治愈0人 累计死亡4人 新增死亡0人
黑龙江 现有感染91人 新增感染15人 累计感染94人 现有疑似405人 新增疑似79人 累计治愈2人 新增治愈2人 累计死亡4人 新增死亡0人
湖北 现有感染8601人 新增感染1921人 累计感染9074人 现有疑似0人 新增疑似0人 累计治愈179人 新增治愈49人 累计死亡588人 新增死亡0人
湖南 现有感染455人 新增感染74人 累计感染463人 现有疑似3人 新增疑似0人 累计治愈8人 新增治愈5人 累计死亡0人 新增死亡0人
吉林 现有感染22人 新增感染0人 累计感染16人 现有疑似14人 新增疑似10人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染230人 新增感染34人 累计感染236人 现有疑似0人 新增疑似0人 累计治愈6人 新增治愈1人 累计死亡0人 新增死亡0人
江西 现有感染324人 新增感染47人 累计感染334人 现有疑似0人 新增疑似0人 累计治愈10人 新增治愈1人 累计死亡0人 新增死亡0人
辽宁 现有感染63人 新增感染4人 累计感染64人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染26人 新增感染3人 累计感染20人 现有疑似13人 新增疑似5人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染28人 新增感染2人 累计感染26人 现有疑似8人 新增疑似7人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染11人 新增感染2人 累计感染10人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染225人 新增感染23人 累计感染225人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染55人 新增感染9人 累计感染56人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染102人 新增感染15人 累计感染102人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染156人 新增感染24人 累计感染167人 现有疑似0人 新增疑似0人 累计治愈10人 新增治愈1人 累计死亡2人 新增死亡0人
四川 现有感染228人 新增感染24人 累计感染232人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈0人 累计死亡2人 新增死亡0人
天津 现有感染41人 新增感染9人 累计感染41人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
西藏 现有感染1人 新增感染0人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染21人 新增感染3人 累计感染21人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染102人 新增感染12人 累计感染105人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈1人 累计死亡0人 新增死亡0人
浙江 现有感染639人 新增感染62人 累计感染661人 现有疑似0人 新增疑似0人 累计治愈22人 新增治愈8人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
