全国 现有感染1970人 新增感染703人 累计感染2063人 现有疑似140人 新增疑似78人 累计治愈47人 新增治愈10人 累计死亡56人 新增死亡15人
安徽 现有感染60人 新增感染21人 累计感染59人 现有疑似44人 新增疑似15人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染66人 新增感染17人 累计感染68人 现有疑似0人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
重庆 现有感染75人 新增感染18人 累计感染75人 现有疑似13人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染35人 新增感染17人 累计感染35人 现有疑似42人 新增疑似38人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染14人 新增感染7人 累计感染14人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染124人 新增感染48人 累计感染126人 现有疑似4人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
广西 现有感染48人 新增感染13人 累计感染48人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染7人 新增感染2人 累计感染7人 现有疑似4人 新增疑似3人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染27人 新增感染7人 累计感染27人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
河北 现有感染17人 新增感染5人 累计感染18人 现有疑似16人 新增疑似11人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染82人 新增感染51人 累计感染83人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
黑龙江 现有感染14人 新增感染6人 累计感染14人 现有疑似10人 新增疑似10人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
湖北 现有感染958人 新增感染323人 累计感染1052人 现有疑似0人 新增疑似0人 累计治愈42人 新增治愈10人 累计死亡104人 新增死亡0人
湖南 现有感染69人 新增感染26人 累计感染69人 现有疑似3人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
吉林 现有感染4人 新增感染0人 累计感染4人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染31人 新增感染13人 累计感染31人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江西 现有感染36人 新增感染18人 累计感染36人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
辽宁 现有感染17人 新增感染5人 累计感染17人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染7人 新增感染0人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染4人 新增感染1人 累计感染3人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染1人 新增感染0人 累计感染0人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染39人 新增感染18人 累计感染39人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染9人 新增感染3人 累计感染9人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染15人 新增感染10人 累计感染15人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染38人 新增感染7人 累计感染40人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡2人 新增死亡0人
四川 现有感染44人 新增感染16人 累计感染44人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
天津 现有感染10人 新增感染2人 累计感染10人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染4人 新增感染1人 累计感染4人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染11人 新增感染6人 累计感染11人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染104人 新增感染42人 累计感染104人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
