全国 现有感染9524人 新增感染2024人 累计感染9856人 现有疑似1182人 新增疑似253人 累计治愈136人 新增治愈45人 累计死亡213人 新增死亡43人
安徽 现有感染234人 新增感染37人 累计感染236人 现有疑似275人 新增疑似70人 累计治愈3人 新增治愈1人 累计死亡0人 新增死亡0人
北京 现有感染150人 新增感染24人 累计感染156人 现有疑似0人 新增疑似0人 累计治愈5人 新增治愈0人 累计死亡2人 新增死亡0人
重庆 现有感染205人 新增感染41人 累计感染206人 现有疑似13人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染144人 新增感染24人 累计感染144人 现有疑似316人 新增疑似52人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染36人 新增感染6人 累计感染36人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染490人 新增感染127人 累计感染500人 现有疑似4人 新增疑似0人 累计治愈10人 新增治愈1人 累计死亡0人 新增死亡0人
广西 现有感染100人 新增感染13人 累计感染102人 现有疑似1人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染27人 新增感染14人 累计感染24人 现有疑似68人 新增疑似6人 累计治愈2人 新增治愈1人 累计死亡0人 新增死亡0人
海南 现有感染55人 新增感染8人 累计感染57人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡2人 新增死亡0人
河北 现有感染95人 新增感染14人 累计感染96人 现有疑似235人 新增疑似47人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染347人 新增感染74人 累计感染352人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈1人 累计死亡4人 新增死亡0人
黑龙江 现有感染57人 新增感染16人 累计感染58人 现有疑似250人 新增疑似74人 累计治愈0人 新增治愈0人 累计死亡4人 新增死亡0人
湖北 现有感染5522人 新增感染1220人 累计感染5806人 现有疑似0人 新增疑似0人 累计治愈80人 新增治愈26人 累计死亡408人 新增死亡0人
湖南 现有感染330人 新增感染55人 累计感染332人 现有疑似3人 新增疑似0人 累计治愈2人 新增治愈2人 累计死亡0人 新增死亡0人
吉林 现有感染13人 新增感染0人 累计感染13人 现有疑似10人 新增疑似3人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
江苏 现有感染166人 新增感染39人 累计感染168人 现有疑似0人 新增疑似0人 累计治愈2人 新增治愈2人 累计死亡0人 新增死亡0人
江西 现有感染233人 新增感染78人 累计感染240人 现有疑似0人 新增疑似0人 累计治愈7人 新增治愈4人 累计死亡0人 新增死亡0人
辽宁 现有感染44人 新增感染6人 累计感染45人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染20人 新增感染2人 累计感染14人 现有疑似4人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染21人 新增感染4人 累计感染19人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染8人 新增感染2人 累计感染7人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染178人 新增感染33人 累计感染178人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染38人 新增感染4人 累计感染39人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染63人 新增感染7人 累计感染63人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染112人 新增感染17人 累计感染118人 现有疑似0人 新增疑似0人 累计治愈5人 新增治愈0人 累计死亡2人 新增死亡0人
四川 现有感染176人 新增感染36人 累计感染178人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡2人 新增死亡0人
天津 现有感染31人 新增感染4人 累计感染31人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
西藏 现有感染1人 新增感染0人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染17人 新增感染3人 累计感染17人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染82人 新增感染7人 累计感染83人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
浙江 现有感染529人 新增感染109人 累计感染537人 现有疑似0人 新增疑似0人 累计治愈8人 新增治愈5人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
