全国 现有感染283人 新增感染307人 累计感染314人 现有疑似6人 新增疑似6人 累计治愈25人 新增治愈25人 累计死亡6人 新增死亡6人
安徽 现有感染0人 新增感染0人 累计感染0人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染10人 新增感染5人 累计感染10人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
重庆 现有感染5人 新增感染5人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染26人 新增感染25人 累计感染26人 现有疑似4人 新增疑似4人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广西 现有感染2人 新增感染1人 累计感染2人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染0人 新增感染0人 累计感染0人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
湖北 现有感染239人 新增感染270人 累计感染270人 现有疑似0人 新增疑似0人 累计治愈25人 新增治愈25人 累计死亡12人 新增死亡0人
上海 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
