安徽:确诊 [0,0,0,0,8,14,38,59,69,105,151,199,236,296,339]  疑似 [0,0,1,3,3,3,29,44,80,118,160,205,275,352,434]  治愈 [0,0,0,0,0,0,0,0,0,0,0,2,3,3,5]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
北京:确诊 [0,5,10,14,26,36,51,68,80,91,111,132,156,183,191]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,1,2,2,2,4,4,5,5,9,9]  死亡 [0,0,0,0,0,0,0,0,2,2,2,2,2,2,2]
重庆:确诊 [0,0,5,6,9,27,57,75,110,132,147,165,206,238,262]  疑似 [0,0,0,13,13,13,13,13,13,13,13,13,13,13,13]  治愈 [0,0,0,0,0,0,0,0,0,0,0,1,1,1,3]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,2,2]
福建:确诊 [0,0,0,1,5,10,18,35,59,82,101,120,144,159,179]  疑似 [0,0,0,0,2,4,4,42,73,155,208,264,316,355,402]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
甘肃:确诊 [0,0,0,0,2,4,7,14,19,24,26,30,36,41,52]  疑似 [0,0,0,0,1,1,1,1,1,1,1,1,1,11,14]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,3]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
广东:确诊 [1,1,26,32,53,78,78,126,168,221,291,373,500,584,663]  疑似 [0,0,4,4,4,4,4,4,4,4,4,4,4,4,4]  治愈 [0,0,0,0,2,2,2,2,4,5,6,9,10,12,14]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
广西:确诊 [1,1,2,4,15,25,35,48,53,60,80,89,102,113,129]  疑似 [0,0,0,1,1,1,1,1,1,1,1,1,1,1,1]  治愈 [0,0,0,0,0,0,0,0,0,2,2,2,2,2,2]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
贵州:确诊 [0,0,0,3,3,4,5,7,7,7,7,10,24,33,41]  疑似 [0,0,1,1,1,1,1,4,2,4,7,62,68,66,66]  治愈 [0,0,0,0,0,0,0,0,0,1,1,1,2,2,2]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
海南:确诊 [0,0,0,4,8,11,20,27,38,43,46,49,57,62,69]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,0,0,0,0,0,1,1,1,1,4]  死亡 [0,0,0,0,0,0,0,0,2,2,2,2,2,2,2]
河北:确诊 [0,0,0,1,2,8,13,18,33,48,65,82,96,104,113]  疑似 [0,0,0,0,0,0,5,16,54,99,137,188,235,295,345]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,3,3]  死亡 [0,0,0,0,0,2,2,2,2,2,2,2,2,2,2]
河南:确诊 [0,0,0,1,5,9,32,83,128,168,206,278,352,422,493]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]  治愈 [0,0,0,0,0,0,0,0,0,0,1,2,3,3,3]  死亡 [0,0,0,0,0,0,0,2,2,2,4,4,4,4,4]
黑龙江:确诊 [0,0,0,0,0,3,8,14,20,29,36,42,58,79,94]  疑似 [0,0,0,1,0,0,0,10,50,83,128,176,250,326,405]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]  死亡 [0,0,0,0,0,2,2,2,2,2,2,2,4,4,4]
湖北:确诊 [0,0,270,375,444,549,729,1052,1423,2714,3554,4586,5806,7153,9074]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,25,28,28,31,32,42,44,44,44,54,80,130,179]  死亡 [0,0,12,18,34,48,78,104,152,200,250,324,408,498,588]
湖南:确诊 [0,0,0,0,0,24,43,69,100,143,221,277,332,389,463]  疑似 [0,0,0,0,0,3,3,3,3,3,3,3,3,3,3]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,2,3,8]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
吉林:确诊 [0,0,0,0,1,3,4,4,5,7,8,13,13,16,16]  疑似 [0,0,0,0,0,0,0,1,0,0,0,10,10,10,14]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,1,1,1]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
江苏:确诊 [0,0,0,0,1,9,18,31,47,70,99,129,168,202,236]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,2,5,6]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
江西:确诊 [0,0,0,2,3,7,18,36,48,72,109,162,240,287,334]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,0,0,0,0,2,3,3,7,9,10]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
辽宁:确诊 [0,0,0,0,2,4,12,17,22,27,36,39,45,60,64]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,0,0,0,0,0,0,1,1,1,1]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
内蒙古:确诊 [0,0,0,0,0,1,1,1,5,7,10,12,14,17,20]  疑似 [0,0,0,0,0,2,5,0,1,2,2,3,4,9,13]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
宁夏:确诊 [0,0,0,0,1,2,2,3,6,10,11,15,19,24,26]  疑似 [0,0,0,0,0,1,1,1,0,0,2,1,1,1,8]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
青海:确诊 [0,0,0,0,0,0,0,0,3,5,5,5,7,8,10]  疑似 [0,0,0,0,0,0,1,0,0,0,0,1,1,1,1]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
山东:确诊 [0,0,0,0,0,0,21,39,63,87,121,145,178,202,225]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
山西:确诊 [0,0,0,0,1,1,6,9,13,20,27,35,39,47,56]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,0,0,0,0,0,0,1,1,1,1]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
陕西:确诊 [0,0,0,0,0,3,5,15,22,35,46,56,63,87,102]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  死亡 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
上海:确诊 [0,0,1,9,16,20,33,40,53,66,80,101,118,143,167]  疑似 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]  治愈 [0,0,0,0,0,0,1,1,1,3,4,5,5,9,10]  死亡 [0,0,0,0,0,0,0,2,2,2,2,2,2,2,2]
