全国 现有感染859人 新增感染273人 累计感染917人 现有疑似33人 新增疑似8人 累计治愈34人 新增治愈4人 累计死亡26人 新增死亡9人
安徽 现有感染15人 新增感染6人 累计感染14人 现有疑似3人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染35人 新增感染10人 累计感染36人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
重庆 现有感染27人 新增感染18人 累计感染27人 现有疑似13人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染10人 新增感染5人 累计感染10人 现有疑似4人 新增疑似2人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染4人 新增感染2人 累计感染4人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染76人 新增感染25人 累计感染78人 现有疑似4人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
广西 现有感染25人 新增感染10人 累计感染25人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染4人 新增感染1人 累计感染4人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染11人 新增感染3人 累计感染11人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
河北 现有感染7人 新增感染6人 累计感染8人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染9人 新增感染4人 累计感染9人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
黑龙江 现有感染3人 新增感染3人 累计感染3人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
湖北 现有感染494人 新增感染105人 累计感染549人 现有疑似0人 新增疑似0人 累计治愈31人 新增治愈3人 累计死亡48人 新增死亡0人
湖南 现有感染24人 新增感染24人 累计感染24人 现有疑似3人 新增疑似3人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
吉林 现有感染3人 新增感染2人 累计感染3人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染9人 新增感染8人 累计感染9人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江西 现有感染7人 新增感染4人 累计感染7人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
辽宁 现有感染4人 新增感染2人 累计感染4人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染1人 新增感染1人 累计感染1人 现有疑似2人 新增疑似2人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染2人 新增感染1人 累计感染2人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染1人 新增感染0人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染3人 新增感染3人 累计感染3人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染20人 新增感染4人 累计感染20人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
四川 现有感染15人 新增感染7人 累计感染15人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
天津 现有感染5人 新增感染1人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染2人 新增感染2人 累计感染2人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染43人 新增感染16人 累计感染43人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
