全国 现有感染430人 新增感染152人 累计感染466人 现有疑似23人 新增疑似35人 累计治愈28人 新增治愈3人 累计死亡9人 新增死亡3人
安徽 现有感染1人 新增感染0人 累计感染0人 现有疑似3人 新增疑似3人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染14人 新增感染4人 累计感染14人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
重庆 现有感染6人 新增感染1人 累计感染6人 现有疑似13人 新增疑似13人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染32人 新增感染6人 累计感染32人 现有疑似4人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广西 现有感染4人 新增感染2人 累计感染4人 现有疑似1人 新增疑似18人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染3人 新增感染3人 累计感染3人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染4人 新增感染4人 累计感染4人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
河北 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
河南 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
黑龙江 现有感染0人 新增感染0人 累计感染0人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
湖北 现有感染338人 新增感染105人 累计感染375人 现有疑似0人 新增疑似0人 累计治愈28人 新增治愈3人 累计死亡18人 新增死亡0人
江西 现有感染2人 新增感染2人 累计感染2人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染9人 新增感染8人 累计感染9人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
四川 现有感染2人 新增感染2人 累计感染2人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
天津 现有感染2人 新增感染2人 累计感染2人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染10人 新增感染10人 累计感染10人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
