全国 现有感染1286人 新增感染443人 累计感染1360人 现有疑似68人 新增疑似37人 累计治愈37人 新增治愈3人 累计死亡41人 新增死亡15人
安徽 现有感染39人 新增感染24人 累计感染38人 现有疑似29人 新增疑似26人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染49人 新增感染15人 累计感染51人 现有疑似0人 新增疑似0人 累计治愈2人 新增治愈1人 累计死亡0人 新增死亡0人
重庆 现有感染57人 新增感染30人 累计感染57人 现有疑似13人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染18人 新增感染8人 累计感染18人 现有疑似4人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染7人 新增感染3人 累计感染7人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染76人 新增感染0人 累计感染78人 现有疑似4人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
广西 现有感染35人 新增感染10人 累计感染35人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染5人 新增感染1人 累计感染5人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染20人 新增感染9人 累计感染20人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
河北 现有感染12人 新增感染5人 累计感染13人 现有疑似5人 新增疑似5人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染32人 新增感染23人 累计感染32人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
黑龙江 现有感染8人 新增感染5人 累计感染8人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
湖北 现有感染658人 新增感染180人 累计感染729人 现有疑似0人 新增疑似0人 累计治愈32人 新增治愈1人 累计死亡78人 新增死亡0人
湖南 现有感染43人 新增感染19人 累计感染43人 现有疑似3人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
吉林 现有感染4人 新增感染1人 累计感染4人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染18人 新增感染9人 累计感染18人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江西 现有感染18人 新增感染11人 累计感染18人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
辽宁 现有感染12人 新增感染8人 累计感染12人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染2人 新增感染0人 累计感染1人 现有疑似5人 新增疑似4人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染3人 新增感染0人 累计感染2人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染0人 新增感染0人 累计感染0人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染21人 新增感染21人 累计感染21人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染6人 新增感染5人 累计感染6人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染5人 新增感染2人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染32人 新增感染13人 累计感染33人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
四川 现有感染28人 新增感染13人 累计感染28人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
天津 现有感染8人 新增感染3人 累计感染8人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染3人 新增感染1人 累计感染3人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染5人 新增感染5人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染62人 新增感染19人 累计感染62人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
