全国 现有感染2709人 新增感染766人 累计感染2829人 现有疑似282人 新增疑似146人 累计治愈51人 新增治愈4人 累计死亡82人 新增死亡26人
安徽 现有感染70人 新增感染10人 累计感染69人 现有疑似80人 新增疑似36人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染77人 新增感染12人 累计感染80人 现有疑似0人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡2人 新增死亡0人
重庆 现有感染110人 新增感染35人 累计感染110人 现有疑似13人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染59人 新增感染24人 累计感染59人 现有疑似73人 新增疑似31人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染19人 新增感染5人 累计感染19人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染164人 新增感染42人 累计感染168人 现有疑似4人 新增疑似0人 累计治愈4人 新增治愈2人 累计死亡0人 新增死亡0人
广西 现有感染53人 新增感染5人 累计感染53人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染9人 新增感染0人 累计感染7人 现有疑似2人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染37人 新增感染11人 累计感染38人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河北 现有感染32人 新增感染15人 累计感染33人 现有疑似54人 新增疑似38人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染127人 新增感染45人 累计感染128人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
黑龙江 现有感染20人 新增感染6人 累计感染20人 现有疑似50人 新增疑似40人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
湖北 现有感染1303人 新增感染371人 累计感染1423人 现有疑似0人 新增疑似0人 累计治愈44人 新增治愈2人 累计死亡152人 新增死亡0人
湖南 现有感染100人 新增感染31人 累计感染100人 现有疑似3人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
吉林 现有感染6人 新增感染1人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染47人 新增感染16人 累计感染47人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江西 现有感染48人 新增感染12人 累计感染48人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
辽宁 现有感染22人 新增感染5人 累计感染22人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染11人 新增感染4人 累计感染5人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染7人 新增感染3人 累计感染6人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染4人 新增感染3人 累计感染3人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染63人 新增感染24人 累计感染63人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染13人 新增感染4人 累计感染13人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染22人 新增感染7人 累计感染22人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染51人 新增感染13人 累计感染53人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡2人 新增死亡0人
四川 现有感染69人 新增感染25人 累计感染69人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
天津 现有感染14人 新增感染4人 累计感染14人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染5人 新增感染1人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染19人 新增感染8人 累计感染19人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染128人 新增感染24人 累计感染128人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
