全国 现有感染5906人 新增感染1477人 累计感染6090人 现有疑似666人 新增疑似188人 累计治愈68人 新增治愈7人 累计死亡132人 新增死亡26人
安徽 现有感染152人 新增感染46人 累计感染151人 现有疑似160人 新增疑似42人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
北京 现有感染106人 新增感染20人 累计感染111人 现有疑似0人 新增疑似0人 累计治愈4人 新增治愈0人 累计死亡2人 新增死亡0人
重庆 现有感染147人 新增感染15人 累计感染147人 现有疑似13人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
福建 现有感染101人 新增感染19人 累计感染101人 现有疑似208人 新增疑似53人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染26人 新增感染2人 累计感染26人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染285人 新增感染70人 累计感染291人 现有疑似4人 新增疑似0人 累计治愈6人 新增治愈1人 累计死亡0人 新增死亡0人
广西 现有感染78人 新增感染20人 累计感染80人 现有疑似1人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染11人 新增感染0人 累计感染7人 现有疑似7人 新增疑似6人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染44人 新增感染3人 累计感染46人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡2人 新增死亡0人
河北 现有感染64人 新增感染17人 累计感染65人 现有疑似137人 新增疑似38人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染203人 新增感染38人 累计感染206人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡4人 新增死亡0人
黑龙江 现有感染36人 新增感染7人 累计感染36人 现有疑似128人 新增疑似45人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
湖北 现有感染3385人 新增感染840人 累计感染3554人 现有疑似0人 新增疑似0人 累计治愈44人 新增治愈0人 累计死亡250人 新增死亡0人
湖南 现有感染221人 新增感染78人 累计感染221人 现有疑似3人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
吉林 现有感染9人 新增感染1人 累计感染8人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染99人 新增感染29人 累计感染99人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江西 现有感染106人 新增感染37人 累计感染109人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈1人 累计死亡0人 新增死亡0人
辽宁 现有感染36人 新增感染9人 累计感染36人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
内蒙古 现有感染16人 新增感染3人 累计感染10人 现有疑似2人 新增疑似2人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染12人 新增感染1人 累计感染11人 现有疑似2人 新增疑似2人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染6人 新增感染0人 累计感染5人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染121人 新增感染34人 累计感染121人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染27人 新增感染7人 累计感染27人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
陕西 现有感染46人 新增感染11人 累计感染46人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染75人 新增感染14人 累计感染80人 现有疑似0人 新增疑似0人 累计治愈4人 新增治愈1人 累计死亡2人 新增死亡0人
四川 现有感染108人 新增感染18人 累计感染108人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
天津 现有感染24人 新增感染1人 累计感染24人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染13人 新增感染3人 累计感染13人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染55人 新增感染11人 累计感染55人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染294人 新增感染123人 累计感染296人 现有疑似0人 新增疑似0人 累计治愈2人 新增治愈2人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
