全国 现有感染7588人 新增感染1742人 累计感染7832人 现有疑似932人 新增疑似267人 累计治愈91人 新增治愈23人 累计死亡170人 新增死亡38人
安徽 现有感染198人 新增感染48人 累计感染199人 现有疑似205人 新增疑似45人 累计治愈2人 新增治愈2人 累计死亡0人 新增死亡0人
北京 现有感染126人 新增感染21人 累计感染132人 现有疑似0人 新增疑似0人 累计治愈5人 新增治愈1人 累计死亡2人 新增死亡0人
重庆 现有感染164人 新增感染18人 累计感染165人 现有疑似13人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
福建 现有感染120人 新增感染19人 累计感染120人 现有疑似264人 新增疑似56人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
甘肃 现有感染30人 新增感染4人 累计感染30人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
广东 现有感染364人 新增感染82人 累计感染373人 现有疑似4人 新增疑似0人 累计治愈9人 新增治愈3人 累计死亡0人 新增死亡0人
广西 现有感染87人 新增感染9人 累计感染89人 现有疑似1人 新增疑似0人 累计治愈2人 新增治愈0人 累计死亡0人 新增死亡0人
贵州 现有感染14人 新增感染3人 累计感染10人 现有疑似62人 新增疑似55人 累计治愈1人 新增治愈0人 累计死亡0人 新增死亡0人
海南 现有感染47人 新增感染3人 累计感染49人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈0人 累计死亡2人 新增死亡0人
河北 现有感染81人 新增感染17人 累计感染82人 现有疑似188人 新增疑似51人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
河南 现有感染274人 新增感染72人 累计感染278人 现有疑似0人 新增疑似0人 累计治愈2人 新增治愈1人 累计死亡4人 新增死亡0人
黑龙江 现有感染42人 新增感染6人 累计感染42人 现有疑似176人 新增疑似48人 累计治愈0人 新增治愈0人 累计死亡2人 新增死亡0人
湖北 现有感染4370人 新增感染1032人 累计感染4586人 现有疑似0人 新增疑似0人 累计治愈54人 新增治愈10人 累计死亡324人 新增死亡0人
湖南 现有感染277人 新增感染56人 累计感染277人 现有疑似3人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
吉林 现有感染14人 新增感染5人 累计感染13人 现有疑似10人 新增疑似10人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江苏 现有感染129人 新增感染30人 累计感染129人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
江西 现有感染159人 新增感染53人 累计感染162人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈0人 累计死亡0人 新增死亡0人
辽宁 现有感染38人 新增感染3人 累计感染39人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
内蒙古 现有感染18人 新增感染2人 累计感染12人 现有疑似3人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
宁夏 现有感染17人 新增感染4人 累计感染15人 现有疑似1人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
青海 现有感染6人 新增感染0人 累计感染5人 现有疑似1人 新增疑似1人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山东 现有感染145人 新增感染24人 累计感染145人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
山西 现有感染34人 新增感染8人 累计感染35人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡0人 新增死亡0人
陕西 现有感染56人 新增感染10人 累计感染56人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
上海 现有感染95人 新增感染21人 累计感染101人 现有疑似0人 新增疑似0人 累计治愈5人 新增治愈1人 累计死亡2人 新增死亡0人
四川 现有感染140人 新增感染34人 累计感染142人 现有疑似0人 新增疑似0人 累计治愈1人 新增治愈1人 累计死亡2人 新增死亡0人
天津 现有感染27人 新增感染3人 累计感染27人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
西藏 现有感染1人 新增感染1人 累计感染1人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
新疆 现有感染14人 新增感染1人 累计感染14人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
云南 现有感染76人 新增感染21人 累计感染76人 现有疑似0人 新增疑似0人 累计治愈0人 新增治愈0人 累计死亡0人 新增死亡0人
浙江 现有感染425人 新增感染132人 累计感染428人 现有疑似0人 新增疑似0人 累计治愈3人 新增治愈1人 累计死亡0人 新增死亡0人
// 该文档并非真实数据，仅供测试使用
// 该文档并非真实数据，仅供测试使用
